instance_name,region,size,total_depots,total_orders,total_possible_score,total_score_achieved,score_ratio,orders_completed,orders_failed,completion_rate,total_distance_km,total_flight_time_hours,total_idle_time_hours,drone_utilization,average_delivery_time,average_assignment_time_ms,cross_depot_operations,gnn_cross_depot_decisions,future_planning_accuracy,emergency_completed,high_completed,medium_completed,low_completed,emergency_completion_rate,high_completion_rate,medium_completion_rate,low_completion_rate,model_used,gnn_predictions_made
texas_large_3,texas,large,15,400,1498,315,0.210280374,103,121,0.2575,882.3885445,7.832745495,153.925,0.048422692,6.211640859,0.312035229,98,263,0,4,12,42,45,0.166666667,0.2,0.208955224,0.391304348,Enhanced_Heuristic,0
texas_large_4,texas,large,15,400,1432,380,0.265363128,140,20,0.35,1245.845136,11.05906002,140.7166667,0.072864484,6.856502074,0.271086316,134,360,0,2,16,58,64,0.105263158,0.271186441,0.281553398,0.551724138,Enhanced_Heuristic,0
texas_medium_0,texas,medium,10,200,776,342,0.440721649,94,19,0.47,597.1768588,5.300991701,80.6,0.061710483,5.498523676,0.230558669,87,163,0,5,18,35,36,0.384615385,0.545454545,0.357142857,0.642857143,Enhanced_Heuristic,0
texas_medium_1,texas,medium,10,200,664,301,0.453313253,107,12,0.535,724.253154,6.429016633,75.225,0.078734849,5.298771013,0.226558523,100,172,0,3,11,43,50,0.333333333,0.44,0.457446809,0.694444444,Enhanced_Heuristic,0
texas_medium_2,texas,medium,10,200,738,315,0.426829268,105,11,0.525,707.9229874,6.284057772,75.9,0.076463221,5.210313726,0.154298449,95,168,0,2,15,46,42,0.181818182,0.46875,0.479166667,0.68852459,Enhanced_Heuristic,0
texas_medium_3,texas,medium,10,200,722,502,0.695290859,136,11,0.68,901.8012566,8.005067353,68.80833333,0.104214464,4.659226353,0.26634509,133,181,0,9,22,54,51,0.818181818,0.666666667,0.635294118,0.718309859,Enhanced_Heuristic,0
texas_medium_4,texas,medium,10,200,698,370,0.53008596,118,25,0.59,732.0477437,6.498207284,75.075,0.079661049,4.684894443,0.295568194,109,162,0,4,14,56,44,0.4,0.5,0.589473684,0.656716418,Enhanced_Heuristic,0
texas_small_0,texas,small,5,100,286,199,0.695804196,77,7,0.77,258.8766106,2.297983829,27.21666667,0.07785909,3.099274622,0.120262946,73,87,0,1,6,36,34,0.5,0.6,0.734693878,0.871794872,Enhanced_Heuristic,0
texas_small_1,texas,small,5,100,358,223,0.622905028,71,8,0.71,242.138773,2.149406171,28.5,0.070128803,2.91793913,0.107946603,63,82,0,1,11,36,23,0.25,0.647058824,0.72,0.793103448,Enhanced_Heuristic,0
texas_small_2,texas,small,5,100,374,253,0.676470588,75,15,0.75,254.812866,2.26191097,27.84166667,0.075137613,3.324179383,0.145067888,71,81,0,3,11,35,26,0.5,0.733333333,0.7,0.896551724,Enhanced_Heuristic,0
texas_small_3,texas,small,5,100,308,229,0.743506494,73,7,0.73,248.2843454,2.203958903,28.88333333,0.070895814,3.092024334,0.057976733,62,81,0,3,6,39,25,1,0.75,0.661016949,0.833333333,Enhanced_Heuristic,0
